graph_id,k,num_node,num_edge,spread,model_time,eval_time
1,50,179218,500746,1507.599999999998,151.57284299999992,151.678990583001
2,50,231359,572216,1519.9999999999998,192.33065200000055,192.4204800410007
3,43,234586,578255,1346.8999999999996,178.62555925000015,178.725632665999
4,40,269547,698866,1289.9000000000005,207.1475624169998,207.25178354200034
5,42,565084,1849856,2224.2999999999106,804.5358700420002,804.6455997089997
