k,num_node,num_edge,spread,model_time,eval_time
50,179218,500746,1501.6000000000006,164.31721825000022,164.41639345799922
100,179218,500746,2479.5000000000014,422.2152156249995,422.3282015420009
200,179218,500746,4041.1999999999925,821.3648717920005,821.4673754579999
300,179218,500746,5340.400000000087,1358.5840539580004,1358.6912910420015
500,179218,500746,7521.5999999999885,2124.0821580829997,2124.191984416999
